GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
afri1274,22,-31,844,Afrikaans,Afrikaans,,S Africa,Africa,Africa,S Africa,0,0,Indo-European [indo1319],afr,Afrikaans [afri1274][afr]
afro1254,-99.2934,31.7843,0,,Afro-Seminole Creole,,Basin and Plains,E N America,E N America,Basin and Plains,0,0,Indo-European [indo1319],afs,Afro-Seminole Creole [afro1254][afs]
agar1251,82.297,24.5024,0,,Agariya,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Unattested [unat1236],agi,Agariya [agar1251][agi]
agar1252,146,-6.17,848,Agarabi,Agarabi,,N Coast New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,1,Nuclear Trans New Guinea [nucl1709],agd,Agarabi [agar1252][agd]
agat1236,7.71639,7.97915,0,,Agatu,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],agc,Agatu [agat1236][agc]
agav1236,-53.4394,-13.2985,0,,Agavotaguerra,,NE South America,S America,S America,NE South America,0,0,Unattested [unat1236],avo,Agavotaguerra [agav1236][avo]
aghe1239,10,6.67,852,Aghem,Aghem,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],agq,Aghem [aghe1239][agq]
aghu1253,47.59,41.78,2828,Agul,Aghul,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Nakh-Daghestanian [nakh1245],agx,Aghul [aghu1253][agx]
aghu1253,47.67,41.75,856,Aghul,Aghul,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Nakh-Daghestanian [nakh1245],agx,Aghul [aghu1253][agx]
aghu1254,142.426,-13.735,0,,Aghu Tharnggalu,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],ggr,Aghu Tharnggalu [aghu1254][ggr]
aghu1255,140.17,-6.17,857,Aghu,Aghu,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],ahh,Aghu [aghu1255][ahh]
agii1245,142.387,-3.49104,0,,Agi,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Torricelli [nucl1708],aif,Agi [agii1245][aif]
agob1244,142.532,-9.08521,0,,Agob,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Pahoturi [paho1240],kit,Agob [agob1244][kit]
agoi1246,8.21629,5.87953,0,,Agoi,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ibm,Agoi [agoi1246][ibm]
agua1251,-75.8333,-5.25,0,,Aguano,,NE South America,S America,S America,NE South America,0,0,Unattested [unat1236],aga,Aguano [agua1251][aga]
agua1252,-91.33,15.42,855,Aguacatec,Aguacateco,,Mesoamerica,C America,C America,Mesoamerica,0,0,Mayan [maya1287],agu,Aguacateco [agua1252][agu]
agua1253,-78,-5,853,Aguaruna,Aguaruna,,Andean,S America,S America,NE South America,0,1,Jivaroan [jiva1245],agr,Aguaruna [agua1253][agr]
agun1238,1.74452,7.49256,0,,Aguna,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],aug,Aguna [agun1238][aug]
agus1235,125.742,8.62731,0,,Agusan Manobo,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],msm,Agusan Manobo [agus1235][msm]
agut1237,119.655,10.5328,0,,Agutaynen,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],agn,Agutaynen [agut1237][agn]
agwa1247,8.03166,5.81055,0,,Agwagwune,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],yay,Agwagwune [agwa1247][yay]
ahan1243,-1.94657,4.85147,0,,Ahanta,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],aha,Ahanta [ahan1243][aha]
ahan1244,6.00896,7.44139,0,,hn,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ahn,Àhàn [ahan1244][ahn]
aheu1239,104.229,17.7655,0,,Aheu,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austroasiatic [aust1305],thm,Aheu [aheu1239][thm]
ahir1243,73.685,21.552,0,,Ahirani,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Bookkeeping [book1242],ahr,Ahirani [ahir1243][ahr]
ahom1240,88.464,27.2778,0,,Ahom,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Tai-Kadai [taik1256],aho,Ahom [ahom1240][aho]
ahte1237,-145,62,859,Ahtna,Ahtena,,Alaska-Oregon,W N America,W N America,Alaska-Oregon,0,0,Athapaskan-Eyak-Tlingit [atha1245],aht,Ahtena [ahte1237][aht]
ahwa1235,8.56205,9.17635,0,,Ahwai,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],nfd,Ahwai [ahwa1235][nfd]
aich1238,107.844,25.4908,0,,Ai-Cham,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Tai-Kadai [taik1256],aih,Ai-Cham [aich1238][aih]
aigh1235,150.272,-5.99488,0,,Aighon,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],aix,Aighon [aigh1235][aix]
aika1237,-60.67,-12.67,11,Aikan,Aikan,,NE South America,S America,S America,NE South America,0,0,Aikanã [aika1237][tba],tba,Aikanã [aika1237][tba]
aikl1237,149.571,-6.23575,0,,Aiklep,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],mwg,Aiklep [aikl1237][mwg]
aima1241,59.1756,35.283,0,,Aimaq,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],aiq,Aimaq [aima1241][aiq]
aime1238,142.656,-6.68656,0,,Aimele,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Bosavi [bosa1245],ail,Aimele [aime1238][ail]
aimo1244,94.3556,24.6437,0,,Aimol,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],aim,Aimol [aimo1244][aim]
ainb1238,141.149,-3.09214,0,,Ainbai,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Border [bord1247],aic,Ainbai [ainb1238][aic]
ainu1240,143,43,12,Ainu,Ainu (Japan),,N Coast Asia,N-C Asia,N-C Asia,N Coast Asia,0,0,Ainu [ainu1252],ain,Ainu {Japan} [ainu1240][ain]
ainu1251,76,39.5,861,Aynu,Ainu (China),,Inner Asia,N-C Asia,N-C Asia,Inner Asia,0,0,Turkic [turk1311],aib,Ainu {China} [ainu1251][aib]
