Language,ISO,Country
Nunggubuyu,nuy,Australia
Rembarunga,rmb,Australia
Waray,wrz,Australia
Amarag,amg,Australia
Garig-Ilgar,ilg,Australia
Iwaidja,ibd,Australia
Manangkari,znk,Australia
Maung,mph,Australia
Gadjerawang,gdh,Australia
Kitja,gia,Australia
Miriwung,mep,Australia
Kungarakany,ggk,Australia
Laragia,lrg,Australia
Limilngan,lmc,Australia
Wulna,wux,Australia
Alawa,alh,Australia
Mangarayi,mpc,Australia
Mara,mec,Australia
Wandarang,wnd,Australia
Burarra,bvr,Australia
Djeebbana,djj,Australia
Guragone,gge,Australia
Nakara,nck,Australia
Margu,mhg,Australia
Wurrugu,wur,Australia
Ganggalida,gcd,Australia
Kayardild,gyd,Australia
Minkin,No code,Australia
Nyangga,nny,Australia
Djamindjung,djd,Australia
Djingili,jig,Australia
Gudanji,nji,Australia
Nungali,nug,Australia
Wambaya,wmb,Australia
Mullukmulluk,mpb,Australia
Tyaraity,woa,Australia
Bardi,bcj,Australia
Djawi,djw,Australia
Dyaberdyaber,dyb,Australia
Dyugun,dyd,Australia
Nimanbur,nmp,Australia
Nyigina,nyh,Australia
Nyulnyul,nyv,Australia
Warrwa,wwr,Australia
Yawuru,ywr,Australia
Adynyamathanha,adt,Australia
Aghu Tharnggalu,ggr,Australia
Alngith,aid,Australia
Alyawarr,aly,Australia
Andegerebinha,adg,Australia
Anmatyerre,amx,Australia
Antakarinya,ant,Australia
Arabana,ard,Australia
Areba,aea,Australia
"Arrarnta, Western",are,Australia
"Arrernte, Eastern",aer,Australia
Atampaya,amz,Australia
Awabakal,awk,Australia
Ayabadhu,ayd,Australia
Badimaya,bia,Australia
Bandjalang,bdy,Australia
Bandjigali,bjd,Australia
Banggarla,bjb,Australia
Barrow Point,bpt,Australia
Bayali,bjy,Australia
Bayungu,bxj,Australia
Bidyara,bym,Australia
Biri,bzr,Australia
Burduna,bxn,Australia
Darling,drl,Australia
Dayi,dax,Australia
Dhalandji,dhl,Australia
Dhangu,dhg,Australia
Dhargari,dhr,Australia
Dhurga,dhu,Australia
Dhuwal,duj,Australia
Dieri,dif,Australia
Dirari,dit,Australia
